Comentário;Sentimento
Possibilidade de trabalhar em home office;positivo
Cobrança incompatível com salário Falta de acompanhamento de supervisores no dia a dia;negativo
Você consegue crescer dentro da empresa. O salário é bom.;positivo
Muitas pessoas acabam ficando acomodadas por ser uma empresa que oferece muita segurança, então pode ter muito dificuldade pra lidar com pessoas.;negativo
Dão lanche (não muito bom) 6h de trabalho Davam festa no final do ano Fiz boas amizades;positivo
5 minutos para ir ao banheiro Salário mínimo Clientes chatos Empresas contratantes não querem ajudar os clientes;negativo
Metas visualizadas pelo robbyson vieram pra facilitar o feedback;positivo
A cobranças em cima das metas robbyson acabaram com a relação de supervisor e empregado, os funcionários viraram números e começaram a ser rebaixados.;negativo
Pagamento em dia , e benefícios também.;positivo
Desorganização, e benefícios desconta do salário.;negativo
é um otimo lugar para trabalhar;positivo
Não tem pontos contra. Lugar ótimo;negativo
6 horas de trabalho, pouco esforço físico;positivo
Estress, baixo estímulo como comissões pef;negativo
6:20 de trabalho, plano de saúde e eles tratam super bem as grávidas.;positivo
Tem os estresse de clientes insuportáveis. Mas em todo lugar tem então o que importa é ter emprego.;negativo
boa empresa, oportunidade de crescimento;positivo
salario baixo, promoção demorada, beneficios ruim;negativo
Muitas oportunidades para quem está entrando no mercado de trabalho;positivo
Precisar residir em Juazeiro mesmo para oportunidade em home office;negativo
Tratar bem os funcionários, Acolher bem novos colaboradores, prezar pelo recursos humanos.;positivo
Não tenho do quê reclamar, fui bem tratado durante quase dois anos da empresa e aprendi muito no ambiente.;negativo
Ambiente lindo e aconchegante (fisicamente falando);positivo
Sucateamento de profissionais com baixos salários;negativo
Aprendizado, amizades que se criaram, o homeoffice.;positivo
Nenhuma consideração com o funcionário. O home office só é disponibilizado pra quem é 100%, mas não tem feedback;negativo
Salário pago em dia, convênio médico;positivo
A maior parte dos gestores não valorizam o trabalho do atendente;negativo
Ótimo ambiente, excelentes gestores de RH, pagamento é realizado pontualmente.;positivo
Pouco investimento em programas de criação que facilitariam o nosso desenvolvimento.;negativo
salário para normal, meio período. satisfatório.;positivo
As pessoas trabalham com limite.;negativo
Ótima empresa, com visão de inovação e oportunidade de crescimento internamente aos colaboradores;positivo
Não identifiquei nada por enquanto;negativo
Empresa de valores e preocupada com o desenvolvimento de cada colaborador.;positivo
Remuneração não assertiva, poderia melhorar.;negativo
Implantações de novos clientes na companhia;positivo
Nenhum relacionado a este site.;negativo
poucos requisitos sendo uma opção comum após sair do ensino médio;positivo
pergunte a qualquer um que já trabalhou na AeC, e algo que ninguem recomenda nem para o seu pior inimigo;negativo
Única coisa boa era o horário de trabalho, apenas 6 h por dia;positivo
Baixo salario, turno de trabalho mudava direto sem prévio aviso, gestores e líderes pouco eficientes;negativo
Tem plano de carreira e prioriza processos internos.;positivo
Falta de benefícios. Salário abaixo do mercado.;negativo
Cumpre com o dever do salário em dia.Tem opções de plano de saúde e odontológico.;positivo
Sem oportunidade de crescimento, supervisores imparciais e que precisam trabalhar sua inteligência emocional. A empresa não te oferece incentivos e não oferece um salário emocional.;negativo
estabilidade, ambiente tranquilo, confortavel, bons instrutores.;positivo
colegas que furtam nossas coisas peesoais;negativo
Pagamento em dia, flexibilidade de horários;positivo
Nada contra a empresa, muito boa;negativo
Ambiente tranquilo Diversidade boa gestão bons produtos;positivo
lanche fornecido pela empresa remuneração não tem incentivo;negativo
Uma empresa muito boa de se trabalhar, paga direitinho, tem os benefícios.;positivo
Em termos de seleção para supervisor, vai muito por indicação;negativo
ótima empresa para se trabalhar!;positivo
Apenas o bem vindo é algo a ser melhorado;negativo
Liberdade, Horario, responsa, grana horario;positivo
Mujitas pessoas querendo mandar em outras;negativo
Empresa esta em alto crescimento;positivo
Empresa com uma alta demanda, porém tem pouco pessoal pra trabalho;negativo
Ótima empresa com um ambiente de trabalho excepcional;positivo
Apenas os que se destacam permanecem;negativo
Empresa na vanguarda da tecnologia.;positivo
"Diretores / Gerentes não ""vivem"" a política da empresa";negativo
Pagamento certinho, na data informada ou um pouco antes.;positivo
Poucos beneficios, e deveria fornecer o notebook para trabalho homeoffice;negativo
para a empresa não tem nenhum pros;positivo
salario ruim, condições de serviço ruim;negativo
Ótima empresa, e ótimos colaboradores.;positivo
Nenhum contra que possa influenciar em muitas coisas.;negativo
Empresa com oportunidades para crescimento e relacionamento bom.;positivo
benefícios não são bons, sem ticket, processos muito complexos e burocráticos.;negativo
Reconhecimento de seus colaboradores Oportunidade de crescimento Boa Localidade Equipe de gestão engajada;positivo
Empresa em adaptação na região de São Paulo;negativo
Ambiente agradável e princípios inegociáveis muito latente na companhia.;positivo
Remuneração baixa e VR fora da média do mercado.;negativo
Empresa com ótimo relacionamento com os funcionários e muito bem organizado;positivo
Emprego é muito extremante não é fácil;negativo
plano de saude, plano odontologico,;positivo
salario baixo, metas absurdas, cobrança incessante;negativo
Acho que é uma empresa desorganizada e como todas as empresas de telemarketing não considera os operadores.;positivo
Descontos nas folhas sem razão inflexibilidade de horário desorganização de planejamento;negativo
Bastante tempo disponível em seu dia;positivo
Horário irregular e sujeito a mudanças mensais;negativo
Estrutura da empresa é boa,ambiente limpo.;positivo
supervisores são muito sobrecarregados,oq reflete do nosso atendimento quando e necessário auxílio;negativo
Bom ambiente, empresa tecnologica, acolhedor;positivo
Mau gerenciamento, falta de comunicacao com o funcionario;negativo
Salário em dia, plano de saúde.;positivo
Transporte do turno da noite é muito demorado .;negativo
Na empresa tem uma Equipe unida, flexibilidade;positivo
A parte ruim são os benefícios;negativo
Nada a declarar sobre pois não tem;positivo
Benefícios pois não tem nenhum;negativo
Empresa da muitas oportunidades de crescimento.;positivo
Nenhum ponto contra na empresa.;negativo
Salário, cultura, inclusão, horário flexível;positivo
Nenhum benefício para Home office;negativo
Paga sempre direito, tem convênio médico;positivo
Chances de crescer são poucas;negativo
Benefícios plano dentário, plano de saúde,;positivo
Tratam você como um robô, ser atendente de call center é altamente estressante, deveria haver tratamento psicológico para os funcionários ou alguma ação de aumento de pausas.;negativo
Salário em dia, bonificações, ambiente bem descontraído, ginástica laboral.;positivo
Muita pressão para bater as metas, oferecem um lanche péssimo.;negativo
Empresa grande e bem consolidada no mercado. Fácil localização física e facilidade de acesso.;positivo
A questão de valorização do funcionário é um pouco complicada e apresenta muitos processos burocráticos;negativo
Bom ambiente para trabalhar e acolhedor;positivo
Beneficios, vale refeição / alimentação, plano de saude e plano dental todos muito ruins e abaixo do que é praticado no mercado;negativo
Ambiente, gestão, salário, liderança e horário;positivo
Alta rotatividade de funcionários em algumas operações;negativo
Conhecimento, oportunidades após a saída;positivo
Acordava muito cedo devido a escala;negativo
Questão de horario para adequação;positivo
Instabilidade de setor, mudança s frequentes de setores;negativo
Escala de seg a sexta;positivo
Gestão ruim Planejamento péssimo Sistema ruim;negativo
Salário na média. A empresa fornece um lanche, por mais que seja ruim, oferece.;positivo
Não indico que trabalhem nesse local.;negativo
Foco nas pessoas, oportunidades de crescimento;positivo
Não tenho nada contra a empresa a ser relatado.;negativo
A empresa proporciona chances de crescimento e desenvolvimento. Dá oportunidade para primeiro emprego e não olha para idade, valoriza muito a experiência e vontade da pessoa.;positivo
Precisa melhorar muito os processos internos, tipos de fluxo e remuneração. Alguns líderes necessitam entender melhor o seu respectivo papel. Aperfeiçoar o planejamento e parar de tratar toda demanda como prioridade.;negativo
Bem localizada Benefício Crescimento Comemorações em datas festivas;positivo
Espaço de almoço pequeno no site Vila Mariana. Salário poderia ser maior. Tudo é advertência. Benefício poderia ser melhorado;negativo
Melhor que nada, da pra quebrar um galho;positivo
Muita pressão, supervisões não saem do pé;negativo
A empresa da oportunidades aos funcionários atuais para cargos maiores nelas oferecida.;positivo
Prega muito cuidado com o funcionário, porém não pratica.;negativo
"Variedade de processos internos; Colaboração mútua; Diversidade e inclusão.";positivo
"Planejamento desalinhado; Salario não compatível com o mercado; Acumulo de funções.";negativo
Treinamentos constantes, feedbacks, premiações, dá pra conciliar com a vida pessoal;positivo
Poderia ter mais benefícios e mais oportunidade de crescimento;negativo
Oportunidade de crescimento, ótima gestão e comunicação com as pessoas;positivo
Não tenho Não tenho Não tenhoNão tenho;negativo
Boa empresa, facil comunicação, home office;positivo
Pressão, não tem horario para sair do trabalho, tudo é urgente;negativo
Oferece muitas oportunidades de crescimento.;positivo
Poderiam melhorar mais o salário do colaborador.;negativo
Ambiente de trabalho,espaço, dinâmicas, salário na data correta.;positivo
Supervisores a forma de tratar funcionários, falta de respeito.;negativo
VT,plano de saúde,salário em dia.;positivo
Muita pressão com os funcionários. N possui vale alimentação;negativo
Oferece bastante oportunidade de crescimento a todos. Muito boa opção para quem deseja explorar áreas de carreira;positivo
Constante pressão em busca de resultados;negativo
Cuidado com as pessoas, incentivo ao conhecimento, reconhecimento, etc.;positivo
    ;negativo
Plano de carreira acessivel e oportunidade de crescimento;positivo
Ambiente stressante com muito cobrança;negativo
Empresa perfeita pessoas boas muito bom;positivo
Nenhum, ambiente top não tem contras;negativo
Boa empresa, empresa boa, legal;positivo
Não tem contras, só coisas boas;negativo
Ambiente Agradável para o trabalho presencial;positivo
Precisa de um pouco de definição.;negativo
Home Office, tranquilidade, conforto e segurança.;positivo
A parte financeira quando comete erros tem um prazo de 1 mês para resolução, e não cumpre o combinado.;negativo
O legal da minha antiga empresa, e que além de pagamento em dias, Ela da oportunidade a pessoas de idade maior que 45 anos.;positivo
Não gostava muito da falta de oportunidade de crescimento.;negativo
Ambiente descontraído, muitos programas que incentivam á bater a meta, oportunidade de crescimento;positivo
Nao tem VR e salário muito baixo;negativo
A empresa oferece oportunidades internas e é correta com os seus funcionários.;positivo
Profissionais de liderança em grande parte despreparados.;negativo
Salário é pago em dia, entrevista tranquila, oportunidades de crescimento;positivo
Mudanças de escalas em um período curto de tempo;negativo
Boa, tem horários alternativos e possibilidade de crescimento.;positivo
Não tem muitos benefícios e a comunicação com o rh as vezes é complicado;negativo
Lugar agradável. Bons amigos, qualidade;positivo
Clima muito frio, no mais é tranquilo;negativo
Organizada, não atrasar o salário.;positivo
Não tenho nada contra, ótimo lugar;negativo
Salário e benefícios sempre em dia.;positivo
Descontos indevidos com ressarcimento só no mês seguinte. Salário baixo. Plano de saúde caro para titular e extremamente caro para dependentes. Difícil de se comunicar com o RH. Abrem processo interno, mas só entra quem eles querem, msm que vá bem no processo.;negativo
existem pausas durante o trabalho;positivo
as pausas são curtas e os clientes são abusados;negativo
Gestão de pessoas vinculado à automação da melhor tecnologia disponível no mercado.;positivo
Despreparo de alguns gestores frente à mudança tecnológica.;negativo
Plano de saúde e odontológico;positivo
Empresa não valoriza os funcionários. Há vagas para promoção,mas não há um critério claro para passar ou não no processo interno;negativo
Flexibilidade do horário, por ser meio período pode conciliar com outras atividades.;positivo
A demanda de ligações é muito alta;negativo
um boa empresa que se preocupa com os deveres dos funcionarios;positivo
dentro dos times existe imparcialidade para promoções;negativo
Qualidade de Vida, Profissionalismo, Suporte, Crescimento Profissional;positivo
Falta de dialogo, Desorganização Administrativa;negativo
Empresa organizada, ótimo ambiente de trabalho;positivo
Infelizmente era longe de onde eu morava;negativo
empresa moderna, antenada em tudo q rola no mercado;positivo
promoções de vagas estratégicas nao tem avaliação profissional, apenas para amigos de um grupo incluindo rh e operacao;negativo
flexivel,otimo horario,bons beneficios,otimo salario,muito cuidado com salario familia;positivo
plano de saude,vale transporte,vale alimentação,poucas pas,dificuldade;negativo
Salário em dia, benefícios bons.;positivo
Salário baixo, VR baixo e maioria e oportunidades de crescimento somente na área de Call Center.;negativo
Pagamento em dia, Programas internos, Cultura positiva;positivo
Benefícios, Remuneração variável, PLR, Bônus e Treinamentos;negativo
Pagamento em dia (o mínino), alguns supervisores são legais ..... ..... ..... ..... ...... ...... ...... ......;positivo
Baixo reconhecimento, salário ruim, difícil acesso a gestão, benefício abaixo do mercado .... ...... ...... ...... .......;negativo
Horarios flexiveis, boa remuneracao, com alguns beneficios legais e brindes;positivo
cobram muito pausa para banheiro, e cobranca de metas;negativo
Nenhum pró, nada foi positivo até o salário era insuficiente.;positivo
Os horários são absurdos, quem vai ao banheiro em 10 minutos? Quem almoça em 20 minutos? Os supervisores são incompreensíveis e rudes. As cadeiras são desconfortáveis. O lanche faz mal, literalmente! Várias pessoas tiveram infecção.;negativo
Não vejo nenhum, empresa muito falha.;positivo
Desorganizada, homofóbica, promove processo seletivo e te deixo no banco eternamente, escraviza você, não paga vale refeição se você estiver de home office, mal higienizada.;negativo
6:20 de trabalho e era perto da minha faculdade.;positivo
Sem beneficio nem um. Não tinha vale alimentação nem refeição. Trabalho muito estressante éramos como robôs.;negativo
bom para o primeiro emprego;positivo
salario baixo e estressante .;negativo
Ambiente iluminado, com área para lanche agradável;positivo
Sobrecarga de trabalho, superiores agressivos. Metas totalmente impossíveis de ser alcançadas.;negativo
Ser 6 horas diárias o que ajuda a conciliar outras coisas.;positivo
Migrações excessivas com horários adversos para forçar que o funcionário peça demissão.;negativo
Colegas bastante motivados e prestativos.;positivo
Demandas altíssimas e pressão dos superiores dos seus superiores, que são condescendentes e distantes, mal olham pra vc e sempre usam interlocutores pra comunicar com vc. Salário abaixo do mercado.;negativo
dentro do que o mercado oferece;positivo
treinamento desclassicatorio, poderiam informar antes de contratar;negativo
oportunidades de crescimento e supervisores comprometidos.;positivo
muito trabalho e estresse pra pouco dinheiro. vr vergonhoso.;negativo
Tem oportunidade de crescer, aprendizagem, local tranquilo de trabalhar;positivo
O salario é baixo, não tem vale alimentação,;negativo
Ótimo ambiente e muitas oportunidades de promoção;positivo
Benefícios ainda um pouco atrás de algumas concorrentes;negativo
Sempre tudo em dia conforme o combinado.;positivo
Não podia fazer hora extra.;negativo
Plano de desenvolvimento e carreira, empresa consolidada no mercado de trabalho.;positivo
Sazionalidade entre alta direção, porém uma excelente empresa.;negativo
Boa de trabalhar, com pessoas legais;positivo
Salario ruim, não pagam muito.;negativo
Experiência, bom para quem não possui experiência.;positivo
Péssimo salário, instabilidade empregatícia, pois muitos são contratados e demitidos em um curto período de tempo.;negativo
tempo flexível, trabalho em homeoffice;positivo
salário baixo, não tem vale refeição;negativo
pagamento é realizado pontualmente, benefícios;positivo
falta de materiais adequados para jornadas de trabalho, pouca oportunidade de crescimento, demanda excessiva;negativo
Desenvolvimento de pessoas e oportunidade de crescimento.;positivo
Até o momento não identifiquei nenhum contra.;negativo
local bom de trabalhar e ambiente acolhedor;positivo
muito stress e muita cobrança;negativo
Possibilidade de crescimento Boa relação;positivo
Nenhum nenhum nenhum nenhum nenhum;negativo
Benefícios salario carga horário gestão e o rh;positivo
sem contras, pois a empresa trabalha com fator humano;negativo
A empresa oferece oportunidade de crescimento.;positivo
É muito difícil resolver problemas no geral, principalmente se for relacionado ao RH. Os superiores fazem possuem baixo conhecimento nos setores que lideram (pelo menos no setor onde eu estava) e as vezes agem como tiramos, sem respeitar o psicológico do funcionário.;negativo
Para quem estar procurando um 1 emprego e bom não estou falando de jovem aprendiz;positivo
O salário não e um dos maiores e bastante cansativo e desgastantes;negativo
Ótimo , bom , legal de trabalhar ótima empresa;positivo
RuiM de trabalhar , péssima empresa , não gostei;negativo
Organização, desenvolvimento, ambiente de trabalho;positivo
Nao tem pros para a empresa;negativo
Empresa que visa o funcionário em primeiro lugar;positivo
Pouco contato com outros setores;negativo
a empresa oferece plano de carreira;positivo
salários muito baixos e não tem sindicato;negativo
Salário certo e em dia, ambiente acomchegante;positivo
A gestão e meio desorganizada;negativo
Treinamento excelente, bons materias de trabalhos, prédio em boas condições de trabalho,;positivo
Erro nas folhas de pontos dos funcionários, falta de suporte.;negativo
Horário de 6 horas e plano de carreira.;positivo
Alimentação, alguns supervisores antiéticos e que faziam vista grossa para atitudes erradas de amigos.;negativo
Excelente para o crescimento profissional;positivo
Instabilidade cotidiano. Ambiente constantemente surprendente;negativo
Ambiente agradável, operadores solidários, sala de descanso, banheiros sempre limpos;positivo
Supervisores mas atentos as necessidades de sua equipe com pronto atendimento e conclusão de problemas e um sistema que trave menos;negativo
Ótima empresa gerente coordenações tudo excelente;positivo
Caiu muita ligação não preditiva as vezes;negativo
Queria que tivesse algum, mas acho que só o horário flexível;positivo
Todos os contras existentes, desde supervisores até coordenações.;negativo
Muito bom horários,ambiente tranquilo e remuneração;positivo
So não tem suporte no home office;negativo
Receptiva para com os novos;positivo
Não tenho muita experiência para selecionar contras;negativo
Jornada de trabalho curta, com ambiente descontraido e campanhas internas geradas atraves das empresas parceiras e da aec;positivo
Trabalho estressante, sem direito a momentos para relaxar e ter uma pausa de atendimentos.;negativo
Eles oferecem planos de saúde;positivo
Lidar com os clientes que são estressados;negativo
Salrio em dias, empresa seria.;positivo
Gestores e supervisores deixam muito a desejar..;negativo
Boa empresa sem mais no momento;positivo
Vr e salário abaixo do mercado;negativo
horário flexível, empresa bem localizada;positivo
poucos beneficio, trabalho sobre preção;negativo
Pagam em dia, o ambiente de trabalho e agradável.;positivo
São desorganizados, não tem acordos que favorecem os funcionários, você faz banco de horas e nunca pode tirar.;negativo
Oportunidade de crescimento e aprendizado;positivo
Carga horaria e trabalho massante;negativo
Paga em dia, disponibiliza home office;positivo
Demora a dar férias, difuldade de resolver problemas com Rh;negativo
Empresa busca um ótimo relacionamento interpessoal com todas as áreas. Promove integração de funcionários. Oferece oportunidades de crescimento para cargos inferiores. Extremamente competitiva e dinâmica. Agressiva em fazer as pessoas amarem a rotina massiva de trabalho.;positivo
"RH extremamente omisso ao que acontece nas operações (clima, gestão de diretores com gerentes, realidade do dia a dia) Falta de transparência nos processos seletivos, que são, em sua maioria, totalmente tendenciosos. Falta de responsabilidade com gerentes ao promover superiores que não tem sequer graduação concluída. Gerentes totalmente desqualificados para fazer a gestão de pessoas e que buscam resultado a qualquer custo. Tem a pior carteira de benefícios do mercado (Ex: O ticket alimentação chega a ser motivo de piada internamente). Talentos são avaliados única e exclusivamente pelo resultado recente (não consideram seu histórico ou até mesmo possibilidade de mudança para outra área). Relação com executivos de RH não é de confiança pois há muita fofoca internamente (inclusive de áreas do ""DP""que sabem primeiro da demissão de outros funcionários). Empresa de grande porte mas com toque de gestão caseiro. Gestores despreparados que não oferecem suporte, apenas cobram. Não há política de inclusão social com transgêneros (apesar da empresa ""pregar"" que aceita todas as pessoas, nem acessibilidade 100% compatível para pessoas com deficiência.";negativo
empresa ótima para ter experiência prifissional;positivo
muitas metas para serem cumpridas;negativo
plano de saúde, possibilidade de crescimento;positivo
salario baixo, trabalho sobre pressão;negativo
Ver filmes finais de semana, supervisor companheiro;positivo
salario baixo baixa remuneração, cansativo.;negativo
Não atrasa salários e benefícios;positivo
Não se importam com os funcionários, tratados apenas como números . Geralmente a condenação escolhe pessoas “ favoritas” para passar em processos seletivos dentro da empresa, sendo assim as pessoas que não ficam babando ovo Não tem muita opção de subir de cargo;negativo
Ambiente climatizado não lembro de nenhuma;positivo
Salario baixo, stress, funcionário descartáveis, empresa desestimula a formação dos atendentes, feedback automáticos.;negativo
Diversidade, respeito, inclusão e ambiente leve e divertido;positivo
Benefícios, horário, oportunidade de carreira, conforto do funcionário;negativo
 Carga horária diária  Oportunidade para crescimento profissional  Possibilidade de trabalhar em Home Office;positivo
 Metas altas  Nível de estresse elevado  Dificuldade em conseguir folgas ou receber valores referentes a Horas Extras.;negativo
Os colegas são legais, mas apenas isso.;positivo
Não fornece ticket, plano de saúde.;negativo
Pagam em dia, religiosamente As pessoas, algumas;positivo
Cultura da empresa é só fachada;negativo
Na hora de contratar você vendem uma empresa maravilhosa com um mundo de bob incrivel.;positivo
Quando você começa a trabalhar, ai sim você enxerga o que é a AeC uma grande desorganização, descontos de faltas de que não existe, os supervisores vivem a base de abertura de chamados que NUNCA SÃO RESPONDIDOS os reembolsos efetuados.;negativo
Ambiente limpo, PCs novos e pagamento em dia;positivo
Muita cobrança dos supervisores, baixos benefícios, salário baixo;negativo
salario em dia apenas isso;positivo
não tem oportunidades reais de crescimento, péssimos benéficos;negativo
não tem muito pros, a unica vantagem é que trabalhava de casa nessa pandemia e era 6 horas por dia.;positivo
trabalhava escala 6x1 nao tinha sua folga definida eles falavam um dia antes que dia seria sua folga nos feriados trabalhava tambem nao tinha nem como planejar nada;negativo
Não tem nenhum prós, a empresa é um descaso com os atendentes;positivo
Descaso com os atendetes, desligam vc SE FIZER UMA RECALAMÇÃO.;negativo
Horário de trabalho de 6 hrs e 20 min.;positivo
Super despreparados, plano de saúde, estresse cobrança.;negativo
6h e 20m, pausas, boa gestão, programa de pontos interno;positivo
estresse, pouca flexibilidade, muita cobrança;negativo
Somente pq o salário não atrasava;positivo
Ambiente ruim, cordenadores e supervisores só olhavam para si próprio.;negativo
home office, salário pago em dia;positivo
salário, ausência de benefícios, gestão;negativo
Nenhuma qualidade, somente a carga horária;positivo
Falta de compromisso com a socialização interna da empresa;negativo
Tem remuneração variável por vendas, mas se for receptivo, você não precisa vender.;positivo
Muitos indicadores pra bater e às vezes o sistema que monitora resultados não funciona como deveria.;negativo
Flexibilidade de horário, ambiente limpo e organizado.;positivo
Sem benefícios, cansaço psicológico, lanche do local muito ruim.;negativo
Flexibilidade de Horário, possibilidade de crescimento dentro da empresa;positivo
Alta pressão psicológica, metas altas.;negativo
Uma empresa boa mas algumas coisas tem que melhorar.;positivo
Alguns funcionários da empresa como supervisores não deveriam está trabalhando lá.;negativo
Bons benefícios, carga horária flexível.;positivo
Falta de comunicação entre supervisores e gestores, trabalho monótono e desgastante, pressão extrema para cumprimento de metas.;negativo
Horário de 6h diarias e so;positivo
MUITA PRESSÃO E ELES IMPLICAM com qualquer coisa;negativo
A empresa é ótima, valorização do colaborador, ambiente sem exigências de supervisores, em regra.;positivo
Atividade super estressante, clientes mal educados, rotina exaustiva, trabalhase excessivamente as 6h corridas;negativo
O ambiente e colegas são ótimos e colaborativos. Alta direção excelentes!;positivo
Parte da gerência é despreparada e cultura de call center está espalhadas em todas as áreas.;negativo
Excelente Ambiente de trabalho e apoio da Gestão;positivo
Muitas pessoas desmotivadas e a empresa é conivente com a situação;negativo
Boa equipe, diversidade, grande aprendizagem em computação e comunicação.;positivo
Ambiente exaustivo, trabalhar fins de semana.;negativo
Trabalho que nao precisa de muito conhecimiento tecnico;positivo
Trabalho no horario, pagam na data certa, poucas horas por dia;negativo
A empresa possui um ambiente agradável para o trabalho, assim como as pessoas que lá estão são bastante cordiais. Tem uma boa infraestrutura e um excelente café. Te dão a liberdade de crescer e aprender e te permitem propor e explorar novas tecnologias.;positivo
"Como toda empresa grande, há uma certa falha na comunicação entre os níveis mais altos e baixos da hierarquia. As decisões são impostas aos funcionários sem ao menos considerar a opinião dos mesmos, que muitas vezes são mais entendidos do assunto. Também passa a impressão de que quando surgem novos projetos ocorre uma ""briga de caciques"", principalmente os mais promissores. Remete a expressão: ""muitos caciques para poucos índios"".";negativo
A cultura da empresa faz com que você se sinta muito acolhido.;positivo
Benefícios e salário abaixo do mercado.;negativo
paga em dia vr bom chance de crescimento . .;positivo
desorganização pessimos gestores desrespeito equipe faz tudo o que o cliente pagamente manda .;negativo
Ótimas pessoas, lugar ideal gostei;positivo
Nao tenho nada a falar;negativo
Paga em dia. Estrutura boa.;positivo
Muitos. Estão pouco se lixando para o funcionário.;negativo
Grande chances de contratação e jornada flexivel;positivo
Nenhum plano de carreira, sem benefícios e trabalho maçante.;negativo
Pessoas maravilhosas para trabalhar, clima legal;positivo
Diretoria só pensa em dinheiro, gestão faz cobrança abusiva, condições de trabalho ruins;negativo
Horário de trabalho legal se pegar pela manhã;positivo
pessima gestão, supervisores não deviam ocupar tais cargos e etc;negativo
Não houve, lamentei por ter aceito a oportunidade, pior experiência e não recomendo para nenhum profissional sério.;positivo
Empresa para quem deseja trabalhar como tkm, qualquer outro cargo é deprimente e desorganizado.;negativo
Empresa que tem plano de carreira acessível;positivo
Funcionários confusos demais em funções necessárias;negativo
Ambiente limpo e organizado, segurança do trabalho eficaz;positivo
Salários abaixo da média, pouca preocupação com o colaborador.;negativo
*Bom ambiente de trabalho, organizado, equipado. Possui controle da temperatura com ar condicionado, cadeiras e computadores adequados e reguláveis. Banheiros limpos, lugares de descanso e ampla área do refeitório. *Incentivo ao aprendizado e ascensão de carreira, com vagas abertas internamente para cargos com melhor remuneração dentro da empresa. *Equipe motivada, supervisores e monitoria muito dedicados. *Grande variedade de horários disponíveis, podendo conciliar trabalho e estudos. *Possibilidade de Home Office. *Pagamento em dia, nunca atrasam.;positivo
*Salário é baixo, apenas o mínimo. Mas está de acordo com o acordo da categoria. *O passe de transporte desconta sempre 6%, quanto mais você ganhar, mais desconto terá. *O plano de saúde não cobre tudo, ainda é necessário pagar pela consulta. *O lanche não é muito bom, poderiam melhorar. *Não possui VA.;negativo
Para quem está desempregado qualquer emprego de forma justa e honesta é válido. Empresa boa para primeiro emprego.;positivo
Empresa paga mal seus funcionários, é contabilizado até a pausa para banheiro.;negativo
Horário flexivel, fácil acesso, oportunidade de crescimento, equipe, local agradável;positivo
Dias de folga, benefícios, lanche, dias da semana, premiação;negativo
Organização A empresa é bastante organizada em quase tudo, os pontos de positivos vão para organização.......................................;positivo
Pessoas despreparadas para lidar com agentes A empresa precisa ser mais orgânica Da se preocupar mais com seus agentes, verificar O que realmente eles estão precisando, pois eles são a alma da empresa sem eles nada anda. Um dos prontos, que também devem melhorar e a limpeza pois por mais organizada que sejam os mesmo tem uma proliferação de animais pesonhetos em suas centrais.;negativo
Os colegas de trabalho são legais e o expediente é de 6h;positivo
Pressão psicológica, estressante, cansativo, péssima remuneração e metas difíceis;negativo
Oportunidades de crescimento para outros setores.;positivo
Salários abaixo da média e não há ticket refeição para jornadas de 06:20/dia, salários sem ajustes por 2 anos.;negativo
Home office, Supervisão preocupada com desenvlvimento, Oportunidades de Crescimento;positivo
RH desorganizado e sistemas ineficientes pra trabalho remoto;negativo
Pagamento em dia, chances de crescimento pessoal;positivo
Estresse, alta demanda de ligação, troca muito de setor;negativo
"Contrata facilmente; Não exige experiência; Boas amizades e relação com as pessoas;";positivo
A empresa só foca no lucro, não se interessa pelo desenvolvimento de seus colaboradores e muito menos com a qualidade da prestação de serviço.;negativo
Localização era boa, perto de metrô;positivo
Salário baixo, local de trabalho sujo;negativo
Responde rápido, contratação rápida. Pessoas boas no RH e treinamento;positivo
Não pensa nos trabalhadores, apenas nos resultados;negativo
Bom horário de trabalho,limpo, acessível,;positivo
Gestão, benefícios, desorganizado,falta de informação;negativo
VR, VT em dia. Clima organizacional ótimo.;positivo
Não pagam banco de horas;negativo
trabalho em meio período permite que você cuide de outros assuntos pessoais;positivo
Trabalho robotizado que gera muita carga de stress;negativo
Aprendi muito e o clima era muito legal e um clima agradável;positivo
Pouco focada em pessoas e bastante hierarquia;negativo
muito bom trabalhar la sim;positivo
quem dera ser um peixe para;negativo
Ruim ruim ruim ruim ruim;positivo
péssimo horrores pagamento fraco horrível;negativo
contratação de acordo com a CLT;positivo
alta pressão, horários não de acordo com a disponibilidade do colaborador;negativo
É uma empresa com alma jovem, acolhe as pessoas e faz por onde demonstrar isso. Se você não é burocrático demais não encontrará motivos, por mais que existam, para não gostar de trabalhar na AeC.;positivo
A rotatividade da empresa é algo que me assusta. Não entendo porque despedir alguém que sabe o serviço para contratar alguém que ainda vai aprender. Não que eu seja contra a oportunidade pra todos, mas se eu to na empresa e gosto do que faço, seja por necessidade ou afinidade, porque me colocar pra fora? Muitas vezes é o próprio colaborador que faz por onde, mas em alguns casos os próprios itens que compõem a empresa te fazem não gostar do trabalho. Só exemplificando pra não entenderem errado: alguns supervisores que pegam no pé, equipamentos obsoletos, regras muito severas, enfim...;negativo
A empresa paga corretamente, ate minutos a mais sao descritos na sua folha de pagamento, oportunidade de crescimento, prêmios de reconhecimento por metas atingidas e qualidade no atendimento. Trabalha se aos feriados, mas o colaborar é remunerado por isso.;positivo
